nome,instagram
Fabinho,https://www.instagram.com/fabinho/
Federico Bernardeschi,https://www.instagram.com/fbernardeschi/
Corentin Tolisso,https://www.instagram.com/corentintolisso/
Julian Brandt,https://www.instagram.com/julianbrandt/
Harry Maguire,https://www.instagram.com/harrymaguire93/
Memphis Depay,https://www.instagram.com/memphisdepay/
Benjamin Mendy,https://www.instagram.com/benmendy23/
Marcos Alonso,https://www.instagram.com/marcosalonso28/
Alex Sandro,https://www.instagram.com/alxsndro12/
Aaron Ramsey,https://www.instagram.com/aaronramsey/
Ángel Di María,https://www.instagram.com/angeldimariajm/
Ivan Perisic,https://www.instagram.com/ivanperisic444/
Mesut Özil,https://www.instagram.com/M10_OFFICIAL/
Gerard Piqué,https://www.instagram.com/3gerardpique/
Rodri,
Benjamin Pavard,https://www.instagram.com/benpavard21/
Davinson Sánchez,https://www.instagram.com/daosanchez13/
Frenkie de Jong,https://www.instagram.com/frenkiedejong/
Lucas Torreira,https://www.instagram.com/ltorreira34/
Hirving Lozano,https://www.instagram.com/hirvinglozano/
Gianluigi Donnarumma,https://www.instagram.com/gigiodonna99/
Rúben Neves,https://www.instagram.com/rubendsneves/
Gonçalo Guedes,https://www.instagram.com/goncaloguedes15/
Alessio Romagnoli,https://www.instagram.com/alessio.romagnoli/
Andreas Christensen,https://www.instagram.com/andreaschristensen3/
Jonathan Tah,https://www.instagram.com/jonathantah_/
Héctor Bellerín,https://www.instagram.com/hectorbellerin/
Clément Lenglet,https://www.instagram.com/clement_lenglet/
João Cancelo,https://www.instagram.com/jpcancelo/
Piotr Zielinski,https://www.instagram.com/zielu_94
Michy Batshuayi,https://www.instagram.com/mbatshuayi/
Eric Dier,https://www.instagram.com/ericdier15/
Marcelo Brozovic,https://www.instagram.com/marcelo_brozovic/
Leon Goretzka,https://www.instagram.com/leon_goretzka
Alex Oxlade-Chamberlain,https://www.instagram.com/alexoxchamberlain/
Jesse Lingard,https://www.instagram.com/jesselingard/
Allan,https://www.instagram.com/allanmarques91/
Suso,https://www.instagram.com/suso/
Granit Xhaka,https://www.instagram.com/granitxhaka/
Stefan de Vrij,https://www.instagram.com/Stefandevrij/
Stefan Savic,https://www.instagram.com/savkee15/
Konstantinos Manolas,https://www.instagram.com/kostasmanolas44/
Antonio Rüdiger,https://www.instagram.com/toniruediger/
Nemanja Matic,https://www.instagram.com/nemanjamatic/
César Azpilicueta,https://www.instagram.com/cesarazpi/
Ilkay Gündogan,https://www.instagram.com/ilkayguendogan/
Georginio Wijnaldum,https://www.instagram.com/gwijnaldum/
Javi Martínez,https://www.instagram.com/javi8martinez
Toby Alderweireld,https://www.instagram.com/tobyalderweireld/
Radja Nainggolan,https://www.instagram.com/radja_nainggolan_l4/
Marco Reus,https://www.instagram.com/marcinho11/
Jérôme Boateng,https://www.instagram.com/jeromeboateng
Sergio Ramos,https://www.instagram.com/sergioramos/
Karim Benzema,https://www.instagram.com/karimbenzema/
Paulinho,https://www.instagram.com/paulinhop8/
Tanguy Ndombélé,https://www.instagram.com/ndombele_22/
Houssem Aouar,https://www.instagram.com/houssem_aouar/
Ryan Sessegnon,https://www.instagram.com/ryansess/
Vinícius Júnior,https://www.instagram.com/viniciusjunior/
Mikel Oyarzabal,https://www.instagram.com/mikel10oyar/
Trent Alexander-Arnold,https://www.instagram.com/trentarnold66/
Franck Kessié,https://www.instagram.com/franckkessie/
Wilfred Ndidi,https://www.instagram.com/ndidi25/
Andrew Robertson,https://www.instagram.com/andyrobertson94/
Thomas,https://www.instagram.com/thomaspartey5/
José Gayà,https://www.instagram.com/jose_gaya/
Tiemoué Bakayoko,https://www.instagram.com/bakayoko_official14/
Andrea Belotti,https://www.instagram.com/gallobelotti/
Felipe Anderson,https://www.instagram.com/f_andersoon/
Jordan Pickford,https://www.instagram.com/jpickford1/
Luis Alberto,https://www.instagram.com/10_luisalberto/
Kieran Trippier,https://www.instagram.com/ktrippier2/
Pablo Sarabia,https://www.instagram.com/pablosarabia92/
Nacho Fernández,https://www.instagram.com/nachofdez90/
Henrikh Mkhitaryan,https://www.instagram.com/micki_taryan/
Nicolás Otamendi,https://www.instagram.com/nicolasotamendi30/
Andrej Kramaric,https://www.instagram.com/andrejkramaric/
Leonardo Bonucci,https://www.instagram.com/bonuccileo19/
Manuel Akanji,https://www.instagram.com/obafemi_36/
Iñigo Martínez,https://www.instagram.com/inigomartinez/
Lucas Moura,https://www.instagram.com/lucasmoura7/
Jan Vertonghen,https://www.instagram.com/jvertonghen/
Maximiliano Gómez,https://www.instagram.com/maxi_gomez9/
Carlos Soler,https://www.instagram.com/carlos10soler/
Giovani Lo Celso,https://www.instagram.com/locelsogiovani/
Dayot Upamecano,https://www.instagram.com/upamecano_5/
Yerry Mina,https://www.instagram.com/yerrymina/
Eric Bailly,https://www.instagram.com/ericbailly24/
Presnel Kimpembe,https://www.instagram.com/kimpembe3/
Álvaro Odriozola,https://www.instagram.com/alvaroodriozola/
Ángel Correa,https://www.instagram.com/angelcorrea32/
Aleksandr Golovin,https://www.instagram.com/alex_golovin17/
Gelson Martins,https://www.instagram.com/gelsondany77/
Nicolò Barella,https://www.instagram.com/nicolo_barella/
Iñaki Williams,https://www.instagram.com/williaaaams11/
Keita Baldé,https://www.instagram.com/keitabaldeofficial/
Nélson Semedo,https://www.instagram.com/nelsonsemedo50/
Thilo Kehrer,https://www.instagram.com/thilokehrer/
Hakim Ziyech,https://www.instagram.com/hziyech/
André Silva,https://www.instagram.com/andresilva9/
Ante Rebic,https://www.instagram.com/anterebic/
Jean Michaël Seri,https://www.instagram.com/mika_seri6/
Serge Gnabry,https://www.instagram.com/sergegnabry#
Wissam Ben Yedder,https://www.instagram.com/wissbenyedder/
Wilfried Zaha,https://www.instagram.com/wilfriedzaha/
Alessandro Florenzi,https://www.instagram.com/florenzipertelethon/
Geoffrey Kondogbia,https://www.instagram.com/geoffreykondogbia/
Paco Alcácer,https://www.instagram.com/paco93alcacer/
Willian José,https://www.instagram.com/willianjose/
Emre Can,https://www.instagram.com/ec2323/
Ander Herrera,https://www.instagram.com/anderherrera/
Gylfi Sigurdsson,https://www.instagram.com/gylfisig23/
Julian Draxler,https://www.instagram.com/draxlerofficial/
Victor Wanyama,https://www.instagram.com/victorwanyama/
Steven Nzonzi,https://www.instagram.com/iamnzonzi15/
Dries Mertens,https://www.instagram.com/driesmertens
Diego Godín,https://www.instagram.com/diegogodin/
Mateo Kovacic,https://www.instagram.com/mateokovacic8/
Danny Rose,
Juan Mata,https://www.instagram.com/juanmatagarcia
Marek Hamsik,https://www.instagram.com/marek_hamsik_17_official/
David Silva,https://www.instagram.com/david21lva/
Axel Witsel,https://www.instagram.com/axelwitsel28
Blaise Matuidi,https://www.instagram.com/blaisematuidiofficiel/
Hugo Lloris,https://www.instagram.com/iamhugolloris/
Manuel Neuer,https://www.instagram.com/manuelneuer/
James Maddison,https://www.instagram.com/madders/
Lorenzo Pellegrini,https://www.instagram.com/lorepelle7/
Rúben Dias,https://www.instagram.com/rubendias/
Joe Gomez,https://www.instagram.com/joegomez5/
Rony Lopes,https://www.instagram.com/ronylopes10/
Alassane Plea,https://www.instagram.com/alasplea/
Rafinha,https://www.instagram.com/rafinhaaa93/
Juan Cuadrado,https://www.instagram.com/cuadrado/
Oscar,https://www.instagram.com/oscar_emboaba/
Kevin Strootman,https://www.instagram.com/kevinstrootman/
Jordan Henderson,https://www.instagram.com/jhenderson/
Cengiz Ünder,https://www.instagram.com/cengizunder
Hakan Calhanoglu,https://www.instagram.com/hakancalhanoglu
Bruno Fernandes,https://www.instagram.com/brunofernandes.10/
Yacine Brahimi,https://www.instagram.com/brahimiofficiel/
David Neres,https://www.instagram.com/davidneres/
Paulinho,https://www.instagram.com/paulinhoph7/
Santiago Ascacíbar,https://www.instagram.com/santiascacibar97/
Nikola Milenkovic,https://www.instagram.com/milenkovicn_4/
Lautaro Martínez,https://www.instagram.com/lautaromartinezz10/
Amine Harit,https://www.instagram.com/a.harit14/
Pablo Fornals,https://www.instagram.com/pablofornals/
André Zambo Anguissa,https://www.instagram.com/anguiss_29/
Lucas Tousart,https://www.instagram.com/lucas_tousart/
Fabián Ruiz,https://www.instagram.com/fabianruiz52/
Nicolas Pépé,https://www.instagram.com/nicolas.pepe19/
Moussa Marega,https://www.instagram.com/marega11/
Giovanni Simeone,https://www.instagram.com/simeonegiovanni/
Jean-Kévin Augustin,https://www.instagram.com/augustin_29/
Jefferson Lerma,https://www.instagram.com/jeffersonlerma/
Talisca,https://www.instagram.com/andersontalisca/
Alex Telles,https://www.instagram.com/alextelles13
Abdou Diallo,
Wendell,https://www.instagram.com/wendellborges18/
Lucas Vázquez,https://www.instagram.com/lucasvazquez91/
Elseid Hysaj,https://www.instagram.com/elsihysaj/
Bryan Cristante,https://www.instagram.com/bryancristante/
Mattia Caldara,https://www.instagram.com/mattiacaldara/
Julian Weigl,https://www.instagram.com/juweigl/
Alejandro Grimaldo,https://www.instagram.com/grimaldo35/
Ben Davies,https://www.instagram.com/bendavies33/
Stanislav Lobotka,https://www.instagram.com/stanleylobotka37/
Victor Lindelöf,https://www.instagram.com/victorlindelof/
Jean-Philippe Gbamin,https://www.instagram.com/jpgbamin25/
Nathan Aké,https://www.instagram.com/nathanake/
Matteo Politano,https://www.instagram.com/matteo_poli7/
Matías Vecino,https://www.instagram.com/vecino/
Ross Barkley,https://www.instagram.com/rossbarkley/
Simone Verdi,https://www.instagram.com/simoneverdi/
Dennis Praet,https://www.instagram.com/dennispraet/?hl=it
Faouzi Ghoulam,https://www.instagram.com/ghoulam.faouzi/
Matthias Ginter,https://www.instagram.com/matzeginter28/
Emil Forsberg,https://www.instagram.com/eforsberg10/
Marcel Sabitzer,https://www.instagram.com/marcel7sabitzer/
Thorgan Hazard,https://www.instagram.com/thorgan10/
Thomas Meunier,https://www.instagram.com/thomas12meunier/
Shkodran Mustafi,https://www.instagram.com/shkodranmustafi/
Sime Vrsaljko,https://www.instagram.com/simevrsaljko2/
Iago Aspas,https://www.instagram.com/i.aspas10/
Vitolo,https://www.instagram.com/vitolomperez20/
Pedro,https://www.instagram.com/_pedro17_/
Asier Illarramendi,https://www.instagram.com/illarra4/
Aleksandar Mitrovic,https://www.instagram.com/aleksandar_mitrovic_45/
David Luiz,https://www.instagram.com/davidluiz_4/
Marko Arnautovic,https://www.instagram.com/m.arnautovic7/
Arturo Vidal,https://www.instagram.com/kingarturo23oficial/
Sami Khedira,https://www.instagram.com/sami_khedira6/
Edin Dzeko,https://www.instagram.com/ed_dzeko/
Luka Modric,https://www.instagram.com/lukamodric10/
Cesc Fàbregas,https://www.instagram.com/cescf4bregas/
Danilo Pereira,https://www.instagram.com/iamdanilopereira/
José Callejón,https://www.instagram.com/jcallejon21
